cat_url,product_url,category,side_bar_item,side_bar_url
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-por-jao-namprik-pla-khaosarn-rice-topping-100g-8857127887265,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-look-ped-green-curry-paste-80g-8857127281551,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-mae-aew-spicy-crispy-pork-rind-very-spicy-flavour-15g-8857124818941,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-doikham-strawberry-jam-130g-8850773570260,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-doikham-natural-honey-120g-8850773620156,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-por-jao-namprik-pla-silkaew-rice-topping-100g-8857127887258,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-doi-kham-mango-with-passion-fruit-spread-jam-220g-8850773570123,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-mae-aew-crab-curry-flavored-pork-rinds-40g-8857124818842,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-look-ped-sour-yellow-curry-paste-80g-8857127281568,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-hungrigo-thai-boat-instant-thin-rice-noodles-90g-8857124219632,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-doi-kham-peach-spread-jam-220g-8850773570161,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-tarnburi-palmyra-sugar-250g-8857123950352,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-doi-kham-mulberry-spread-jam-220g-8850773108210,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-tongtin-look-ped-panang-curry-paste-80g-8857127281575,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025/pantry-and-ingredients,https://www.tops.co.th/en/otop-doikham-100percent-honey-120g-pack6-8850773620309,Pantry & Ingredients,OTOP,https://www.tops.co.th/en/campaign/promotion-otop-16jan-28feb-2025.html
