url,error
https://www.tops.co.th/en/robinsons-lemon-juice-no-sugar-1ltr-5000147030651,URL was redirected to: https://www.tops.co.th/en/beverages
https://www.tops.co.th/en/labeyrie-mini-blinis-foie-gras-168gc-3292070100804,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/132245-my-choice-coconut-and-ginko-pieb-0000024934350,URL was redirected to: https://www.tops.co.th/en/404
https://www.tops.co.th/en/jamondor-millenium-reserva-serrano-ham-boneless-and-skinlessc-0216043000000,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/my-choice-vegetarian-croissant-pack-4b-0000048614344,URL was redirected to: https://www.tops.co.th/en/fresh-food-bakery
https://www.tops.co.th/en/candied-pecan-longan-honey-briocheb-0000048564960,URL was redirected to: https://www.tops.co.th/en/404
https://www.tops.co.th/en/rustichella-d-abruzzopasta-tonarelli-al-nero-di-seppia-500g-8009452222499,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/healthiful-spaghetti-with-plant-based-meatballs-230g-8853474073092,"Message: 
 Element {//div[@class = ""product-Details-name""]} was not present after 2 seconds!
"
https://www.tops.co.th/en/sunplay-skin-aqua-tone-up-essence-sunscreen-spf50-80g-4987241157754,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/8854545889826-8854545889826,"Message: 
 Element {//span[@class = ""product-Details-price-label""]} was not present after 10 seconds!
"
https://www.tops.co.th/en/d-plus-red-bean-paste-filled-bun-90g-tol-8859290400036,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/melano-cc-vitamin-c-brightening-essence-20-ml-4987241160037,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/oral-b-essential-dental-floss-50m-pack2-4902430721127,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/swissemultivitaminwithfolicacid377g-30tablets-9311770608046,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/8854545889833-8854545889833,"Message: 
 Element {//span[@class = ""product-Details-price-label""]} was not present after 10 seconds!
"
https://www.tops.co.th/en/campbell-condensed-soup-minestrone-298g-0051000246516,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/oral-b-essential-dental-floss-50m-pack2-4902430721127,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/swissemultivitaminwithfolicacid377g-30tablets-9311770608046,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/healthiful-spaghetti-with-plant-based-meatballs-230g-8853474073092,"Message: 
 Element {//div[@class = ""product-Details-name""]} was not present after 2 seconds!
"
https://www.tops.co.th/en/rustichella-d-abruzzopasta-tonarelli-al-nero-di-seppia-500g-8009452222499,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/melano-cc-vitamin-c-brightening-essence-20-ml-4987241160037,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/campbell-condensed-soup-minestrone-298g-0051000246516,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/sunplay-skin-aqua-tone-up-essence-sunscreen-spf50-80g-4987241157754,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/8854545889826-8854545889826,"Message: 
 Element {//span[@class = ""product-Details-price-label""]} was not present after 10 seconds!
"
https://www.tops.co.th/en/d-plus-red-bean-paste-filled-bun-90g-tol-8859290400036,"sequence item 0: expected str instance, NoneType found"
https://www.tops.co.th/en/8854545889833-8854545889833,"Message: 
 Element {//span[@class = ""product-Details-price-label""]} was not present after 10 seconds!
"
